latitude,longitude,mag
40.6371667,-124.0028333,2.91
40.6659,-124.0079,2.6
40.5656667,-123.9766667,3.01
40.6005,-124.0688333,3.99
40.7291667,-123.8398333,2.66
40.5186667,-124.389,3.31
40.5268333,-124.324,3.4
40.5228333,-124.3268333,2.57
40.5166667,-124.3391667,2.52
40.5225,-124.3431667,2.53
40.6136667,-124.1985,2.52
40.4803333,-124.4748333,2.55
40.5956667,-124.0973333,2.99
40.5356667,-124.3151667,2.56
40.5405,-124.3285,2.53
40.5213333,-124.4228333,2.77
40.7355,-123.8405,2.81
40.5285,-124.3983333,2.75
40.529,-124.3145,3.02
40.5126667,-124.4091667,2.74
40.5116667,-124.435,2.73
40.5871667,-124.2598333,2.71
40.5208333,-124.3993333,2.66
40.5405,-124.323,2.99
40.5345,-124.3256667,2.52
40.5868333,-124.0923333,2.99
40.5318333,-124.3286667,2.72
40.5085,-124.447,2.96
40.5386667,-124.3115,2.67
40.5436667,-124.3126667,2.59
40.5273333,-124.3543333,3.52
40.586,-124.3128333,3.05
40.5298333,-124.3221667,2.68
40.6,-124.1355,2.81
40.5905,-123.9093333,2.59
40.6031667,-124.063,2.51
40.5183333,-124.4081667,2.76
40.5228333,-124.1881667,4.92
40.525,-124.423,6.4
31.65878916,-104.3794213,2.8
31.65424785,-104.37077,2.8
37.3525,-119.8201667,2.56
44.2768,-116.2641,2.7
44.2705,-116.2423,2.9
31.64535363,-104.4643329,2.9
31.66295253,-104.3751518,3.0
31.93267822,-102.012076,3.1
31.61890654,-103.9728793,2.6
43.8629,-105.3249,3.1
36.53816667,-98.96533333,2.52
36.5415,-98.9615,3.14
31.66287523,-104.3121746,2.5
37.9181667,-122.304,3.57
32.1963501,-102.1599895,2.6
32.20001221,-102.1385528,2.6
31.61516646,-103.9922299,2.5
32.18536377,-102.1342654,3.4
32.19085693,-102.1406965,5.2
43.8697,-105.2753,3.4
46.0192,-106.8754,3.1
31.67560183,-104.4091776,2.8
33.8498333,-117.8655,2.63
40.4853333,-124.8351667,2.77
32.75115967,-100.6572742,2.5
31.62538927,-104.2768996,2.5
34.2301667,-116.9858333,2.7
31.60599442,-103.9862703,3.0
40.7115,-123.814,2.54
45.2315,-106.8024,2.8
